Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
Castilla y León,"PRIETO PALACIO, S.L.U.",5.0,H. Transporte y almacenamiento,123.0,Micro,173.0,2014.0
"Madrid, Comunidad de",MAHOU SAN MIGUEL,7851.0,C. Industria manufacturera,47876.0,Gran empresa,174.0,2014.0
Castilla y León,"PETROMAS, S.L.",2.0,H. Transporte y almacenamiento,47.0,Micro,175.0,2014.0
"Navarra, Comunidad Foral de","LUR GEROA, S.L.U.",7.0,"M. Actividades profesionales, científicas y técnicas",9.0,Micro,176.0,2013.0
"Madrid, Comunidad de","NH HOTEL GROUP, S.A.",8421.0,I. Hostelería,160530.0,Gran empresa,177.0,2011.0
"Madrid, Comunidad de","NH HOTEL GROUP, S.A.",8347.0,I. Hostelería,161211.0,Gran empresa,178.0,2012.0
"Madrid, Comunidad de","NH HOTEL GROUP, S.A.",8529.0,I. Hostelería,113501.0,Gran empresa,179.0,2013.0
"Madrid, Comunidad de","NH HOTEL GROUP, S.A.",7343.0,I. Hostelería,104984.0,Gran empresa,180.0,2014.0
"Madrid, Comunidad de","FCC AQUALIA, S.A.",7454.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",103822.0,Gran empresa,181.0,2014.0
Cataluña,"PERE VALLS, S.A.",47.0,C. Industria manufacturera,5293.0,Pequeña,182.0,2013.0
"Madrid, Comunidad de",GRUPO OHL,9579.0,F. Construcción,6517807.0,Gran empresa,183.0,2014.0
"Navarra, Comunidad Foral de","CONSTRUCCIONES MARIEZCURRENA, S.L.",234.0,F. Construcción,4175.0,Mediana,184.0,2014.0
Andalucía,J. DE HARO ARTES GRÁFICAS,8.0,S. Otros servicios,97.0,Micro,185.0,2013.0
Castilla y León,PRONISA PLENA INCLUSIÓN ÁVILA,131.0,Q. Actividades sanitarias y de servicios sociales,246.0,Mediana,186.0,2014.0
"Madrid, Comunidad de","MONVENARIA, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",10.0,Micro,187.0,2014.0
Castilla y León,"CÁMARA OFICIAL DE COMERCIO, INDUSTRIA, Y SERVICIOS DE VALLADOLID (VIVERO DE EMPRESAS)",36.0,S. Otros servicios,31.0,Pequeña,188.0,2014.0
Cataluña,"CAIXABANK, S.A.",9234.0,K. Actividades financieras y de seguros,93425.0,Gran empresa,189.0,2009.0
Cataluña,"CAIXABANK, S.A.",8571.0,K. Actividades financieras y de seguros,59622.0,Gran empresa,190.0,2010.0
Cataluña,"CAIXABANK, S.A.",9285.0,K. Actividades financieras y de seguros,63454.0,Gran empresa,191.0,2011.0
Cataluña,"CAIXABANK, S.A.",9802.0,K. Actividades financieras y de seguros,68077.0,Gran empresa,192.0,2012.0
Cataluña,"CAIXABANK, S.A.",9552.0,K. Actividades financieras y de seguros,63650.0,Gran empresa,193.0,2013.0
Cataluña,"CAIXABANK, S.A.",7745.0,K. Actividades financieras y de seguros,37527.0,Gran empresa,194.0,2014.0
"Madrid, Comunidad de","VÍAS Y CONSTRUCCIONES, S.A.",7416.0,F. Construcción,184176.0,Gran empresa,195.0,2014.0
